rank,name,school,weight_class,source
1,Spencer Lee,Iowa,125,Manual
1,Nick Suriano,Rutgers,133,Manual
2,Daton Fix,Oklahoma State,133,Manual
1,Austin DeSanto,Iowa,141,Manual
2,Jaydin Eierman,Iowa,141,Manual
1,Yianni Diakomihalis,Cornell,149,Manual
1,David Carr,Iowa State,157,Manual
1,Alex Marinelli,Iowa,165,Manual
1,Carter Starocci,Penn State,174,Manual
2,Michael Kemerer,Iowa,174,Manual
1,Aaron Brooks,Penn State,184,Manual
1,Myles Amine,Michigan,197,Manual
1,Gable Steveson,Minnesota,285,Manual
